Time,Open,High,Low,Last,Change,%Chg,Volume
01/08/2021,268.31,268.95,263.18,267.57,-1.17,-0.44%,18528200
01/07/2021,265.9,271.61,264.78,268.74,5.43,+2.06%,15789700
01/06/2021,262,267.75,260.01,263.31,-7.66,-2.83%,24354100
01/05/2021,268.29,272.4,268.2111,270.97,2.03,+0.75%,9871500
01/04/2021,274.78,275,265.2,268.94,-4.22,-1.54%,15106100
12/31/2020,272,277.09,269.81,273.16,1.29,+0.47%,12900400
12/30/2020,277.95,278.08,271.71,271.87,-4.91,-1.77%,11803700
12/29/2020,276.95,280.51,276.28,276.78,-0.22,-0.08%,16382900
12/28/2020,268.74,277.3,265.66,277,9.6,+3.59%,23299700
12/24/2020,268.88,270.4,266.2,267.4,-0.71,-0.26%,6702000
12/23/2020,266.89,272.1699,266.23,268.11,1.02,+0.38%,14329000
12/22/2020,271.5,271.5,264.63,267.09,-5.7,-2.09%,17334900
12/21/2020,272.98,274.67,267.79,272.79,-3.61,-1.31%,16553700
12/18/2020,275.77,278,271.14,276.4,1.92,+0.70%,26693200
12/17/2020,277.07,280.44,273.61,274.48,-1.19,-0.43%,16377800
12/16/2020,274.76,277.86,272.51,275.67,0.12,+0.04%,15884900
12/15/2020,274.83,276.08,267.47,275.55,1.36,+0.50%,23979400
12/14/2020,273.37,277.22,271.56,274.19,0.64,+0.23%,16376800
12/11/2020,274.53,276.48,270.25,273.55,-3.57,-1.29%,14391400
12/10/2020,275.54,278.73,271.86,277.12,-0.8,-0.29%,20065000
12/09/2020,283.66,287.63,271.75,277.92,-5.48,-1.93%,25189700
12/08/2020,286.01,286.4272,281.55,283.4,-2.18,-0.76%,10747600
12/07/2020,279.19,288.49,278.2,285.58,5.88,+2.10%,13007600
12/04/2020,280.3,283.46,279.3,279.7,-2.15,-0.76%,10880200
12/03/2020,286.25,286.65,281.07,281.85,-5.67,-1.97%,12921600
12/02/2020,285.36,291.78,280.825,287.52,0.97,+0.34%,17361600
12/01/2020,279.16,289.3,278.96,286.55,9.58,+3.46%,20777900
11/30/2020,276.03,277.7,271.01,276.97,-0.84,-0.30%,16693300
11/27/2020,277.39,279.13,274.82,277.81,2.22,+0.81%,7808400
11/25/2020,278.14,280.18,272.65,275.59,-1.33,-0.48%,12467000
11/24/2020,268.49,277.8199,267.87,276.92,8.49,+3.16%,16930400
11/23/2020,270.89,270.9471,264.53,268.43,-1.27,-0.47%,20990700
11/20/2020,272.56,273,269.41,269.7,-3.24,-1.19%,18122400
11/19/2020,271.02,273.47,269.19,272.94,0.97,+0.36%,12963600
11/18/2020,274.52,277.3889,271.84,271.97,-3.03,-1.10%,12152900
11/17/2020,277.68,277.68,273.29,275,-3.96,-1.42%,15040200
11/16/2020,275.05,279.41,274.63,278.96,2.01,+0.73%,12970300
11/13/2020,277.72,277.76,273.1,276.95,1.87,+0.68%,10400100
11/12/2020,277.18,279.75,274.43,275.08,-1.4,-0.51%,12914200
11/11/2020,273.47,278.4,272.48,276.48,4.05,+1.49%,14956900
11/10/2020,273.1,274,264,272.43,-6.34,-2.27%,29067600
11/09/2020,287.6,292.58,278.53,278.77,-14.64,-4.99%,25117600
11/06/2020,293.95,294.6,288.06,293.41,-1.27,-0.43%,13890900
11/05/2020,291.9,297.38,288.95,294.68,7.3,+2.54%,23823600
11/04/2020,281,288.94,278.62,287.38,22.08,+8.32%,35364400
11/03/2020,263.16,270.05,260.88,265.3,3.94,+1.51%,17961800
11/02/2020,264.6,270.47,257.34,261.36,-1.75,-0.67%,27165600
10/30/2020,274.5,276.7,259.1,263.11,-17.72,-6.31%,47299000
10/29/2020,276.55,283.6,273.78,280.83,13.16,+4.92%,32368100
10/28/2020,278.79,278.79,267.26,267.67,-15.62,-5.51%,23121800
10/27/2020,278.76,284.51,276.31,283.29,6.18,+2.23%,16287200
10/26/2020,283.16,285.23,274.26,277.11,-7.68,-2.70%,21322900
10/23/2020,278.8,285.24,276.82,284.79,6.67,+2.40%,17535100
10/22/2020,279.87,282.45,275.04,278.12,-0.61,-0.22%,16720000
10/21/2020,279.56,283.05,276.37,278.73,11.17,+4.17%,28998600
10/20/2020,263.06,269.7,262.88,267.56,6.16,+2.36%,18763200
10/19/2020,265.53,268.55,259.88,261.4,-4.53,-1.70%,13586900
10/16/2020,267.38,271.37,265.3,265.93,-0.79,-0.30%,16622700
10/15/2020,267.6,269.04,263.67,266.72,-5.1,-1.88%,15416000
10/14/2020,277.62,278.75,271.5,271.82,-4.32,-1.56%,15601100
10/13/2020,277.58,279.1,273.39,276.14,0.39,+0.14%,18063300
10/12/2020,270.2,280.18,267.87,275.75,11.3,+4.27%,31019200
10/09/2020,264.52,264.75,262.17,264.45,0.69,+0.26%,14107800
"Downloaded from Barchart.com as of 01-09-2021 06:41pm CST"
